cycle number	time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
5.000000000000000E+000	5.391316771358543E+002	1.0000186E+006	5.4428998E+002	1.0605105E+003	1.1920294E+003	-6.2831566E+001
5.000000000000000E+000	5.395656664631388E+002	7.9433269E+005	6.4062128E+002	9.9736896E+002	1.1853862E+003	-5.7286911E+001
5.000000000000000E+000	5.399996722170908E+002	6.3095681E+005	7.2954041E+002	1.0382080E+003	1.2688992E+003	-5.4904594E+001
5.000000000000000E+000	5.404346849844151E+002	5.0120622E+005	8.4706091E+002	1.1252404E+003	1.4084310E+003	-5.3028217E+001
5.000000000000000E+000	5.408686777783732E+002	3.9810347E+005	9.9041101E+002	1.2307200E+003	1.5797423E+003	-5.1174934E+001
5.000000000000000E+000	5.413026676122972E+002	3.1622997E+005	1.1455967E+003	1.3669078E+003	1.7834878E+003	-5.0033844E+001
5.000000000000000E+000	5.417366895795858E+002	2.5118766E+005	1.3329258E+003	1.4903466E+003	1.9994559E+003	-4.8191406E+001
5.000000000000000E+000	5.421706876535609E+002	1.9954350E+005	1.5307740E+003	1.6289943E+003	2.2353728E+003	-4.6780445E+001
5.000000000000000E+000	5.426046729008376E+002	1.5848613E+005	1.7890984E+003	1.7518882E+003	2.5039939E+003	-4.4397934E+001
5.000000000000000E+000	5.430386854281242E+002	1.2590930E+005	2.0076743E+003	1.9366801E+003	2.7895315E+003	-4.3968849E+001
5.000000000000000E+000	5.434736730487493E+002	1.0000371E+005	2.2844048E+003	2.1827229E+003	3.1595544E+003	-4.3696045E+001
5.000000000000000E+000	5.439076849093835E+002	7.9433273E+004	2.4847603E+003	2.2837788E+003	3.3748599E+003	-4.2586559E+001
5.000000000000000E+000	5.443426665033621E+002	6.3093824E+004	2.8606230E+003	2.5264648E+003	3.8165676E+003	-4.1450523E+001
5.000000000000000E+000	5.447776762306748E+002	5.0122477E+004	3.1711570E+003	2.6995195E+003	4.1645698E+003	-4.0406845E+001
5.000000000000000E+000	5.452116882513219E+002	3.9814059E+004	3.5261853E+003	2.9228386E+003	4.5800620E+003	-3.9655178E+001
5.000000000000000E+000	5.458166808933893E+002	3.1621139E+004	3.9302935E+003	3.3109197E+003	5.1390073E+003	-4.0111134E+001
5.000000000000000E+000	5.462516734740639E+002	2.5116910E+004	4.2758608E+003	3.5768574E+003	5.5746655E+003	-3.9913269E+001
5.000000000000000E+000	5.466866818146955E+002	1.9948785E+004	4.7627432E+003	3.9970347E+003	6.2177173E+003	-4.0004368E+001
5.000000000000000E+000	5.471206792219600E+002	1.5847683E+004	5.3157710E+003	4.3488779E+003	6.8680537E+003	-3.9286892E+001
5.000000000000000E+000	5.474146694226365E+002	1.2590930E+004	5.8241196E+003	4.8795386E+003	7.5980435E+003	-3.9956802E+001
5.000000000000000E+000	5.477086758899095E+002	1.0002226E+004	6.4477329E+003	5.2844063E+003	8.3365586E+003	-3.9337219E+001
5.000000000000000E+000	5.480441849458730E+002	7.9439990E+003	7.1621133E+003	5.9688232E+003	9.3232354E+003	-3.9807438E+001
5.000000000000000E+000	5.484407321380277E+002	6.3077339E+003	7.9977690E+003	6.5661206E+003	1.0347862E+004	-3.9385792E+001
5.000000000000000E+000	5.489098691736799E+002	5.0116040E+003	8.3030332E+003	7.0787710E+003	1.0910975E+004	-4.0449329E+001
5.000000000000000E+000	5.493768903158634E+002	3.9812744E+003	9.8409775E+003	8.6232412E+003	1.3084538E+004	-4.1226742E+001
5.000000000000000E+000	5.498438931113778E+002	3.1610117E+003	1.0569032E+004	9.0092803E+003	1.3887821E+004	-4.0445019E+001
5.000000000000000E+000	5.503108951068934E+002	2.5108032E+003	1.1915260E+004	1.0470195E+004	1.5861854E+004	-4.1306469E+001
5.000000000000000E+000	5.507788919824525E+002	1.9956388E+003	1.3057196E+004	1.1114754E+004	1.7147248E+004	-4.0405621E+001
5.000000000000000E+000	5.512458728046331E+002	1.5855074E+003	1.4548008E+004	1.2908087E+004	1.9448990E+004	-4.1581852E+001
5.000000000000000E+000	5.517141343735275E+002	1.2587913E+003	1.5658586E+004	1.4431540E+004	2.1294615E+004	-4.2664829E+001
5.000000000000000E+000	5.521798740756640E+002	1.0003202E+003	1.8144371E+004	1.6029072E+004	2.4210521E+004	-4.1457973E+001
6.000000000000000E+000	6.735404662820802E+002	1.0000186E+006	4.7441251E+002	1.0894517E+003	1.1882643E+003	-6.6468803E+001
6.000000000000000E+000	6.739754804627446E+002	7.9433269E+005	6.3340057E+002	1.0455159E+003	1.2224155E+003	-5.8791435E+001
6.000000000000000E+000	6.744094781099993E+002	6.3095681E+005	7.4202875E+002	1.0751403E+003	1.3063435E+003	-5.5387756E+001
6.000000000000000E+000	6.748434792773041E+002	5.0120622E+005	8.6232983E+002	1.1570601E+003	1.4430526E+003	-5.3303699E+001
6.000000000000000E+000	6.752774705778866E+002	3.9810347E+005	1.0071859E+003	1.2742065E+003	1.6242000E+003	-5.1675690E+001
6.000000000000000E+000	6.757114622518711E+002	3.1622997E+005	1.1753932E+003	1.4191300E+003	1.8426826E+003	-5.0366776E+001
6.000000000000000E+000	6.761464728591673E+002	2.5118766E+005	1.3510901E+003	1.5667233E+003	2.0688320E+003	-4.9226608E+001
6.000000000000000E+000	6.765804664797906E+002	1.9954350E+005	1.5875359E+003	1.6893020E+003	2.3181914E+003	-4.6778820E+001
6.000000000000000E+000	6.770144616203906E+002	1.5848613E+005	1.8034238E+003	1.8689806E+003	2.5971958E+003	-4.6022690E+001
6.000000000000000E+000	6.774484833210299E+002	1.2590930E+005	2.0231409E+003	2.0676821E+003	2.8928201E+003	-4.5623817E+001
6.000000000000000E+000	6.778824668082816E+002	1.0000371E+005	2.3234788E+003	2.2302090E+003	3.2206189E+003	-4.3826614E+001
6.000000000000000E+000	6.783164622155891E+002	7.9433273E+004	2.6619402E+003	2.4202705E+003	3.5977263E+003	-4.2277519E+001
6.000000000000000E+000	6.787504794361594E+002	6.3093824E+004	3.0141326E+003	2.6181543E+003	3.9924587E+003	-4.0978436E+001
6.000000000000000E+000	6.791844651634747E+002	5.0122477E+004	3.3908994E+003	2.8548630E+003	4.4326563E+003	-4.0094666E+001
6.000000000000000E+000	6.799304719722422E+002	3.9814059E+004	3.6503997E+003	3.0992698E+003	4.7886211E+003	-4.0331989E+001
6.000000000000000E+000	6.803644836995227E+002	3.1621139E+004	4.0659890E+003	3.4455386E+003	5.3295405E+003	-4.0278099E+001
6.000000000000000E+000	6.807984729201125E+002	2.5116910E+004	4.5198159E+003	3.7903838E+003	5.8987920E+003	-3.9983688E+001
6.000000000000000E+000	6.812324736340961E+002	1.9948785E+004	5.0236875E+003	4.1949390E+003	6.5448413E+003	-3.9862953E+001
6.000000000000000E+000	6.816664760813292E+002	1.5847683E+004	5.5303540E+003	4.5898491E+003	7.1868999E+003	-3.9690559E+001
6.000000000000000E+000	6.819604673220019E+002	1.2590930E+004	6.0540767E+003	5.1122490E+003	7.9238208E+003	-4.0178780E+001
6.000000000000000E+000	6.822544869892590E+002	1.0002226E+004	6.6767192E+003	5.5130649E+003	8.6586641E+003	-3.9546986E+001
6.000000000000000E+000	6.825890020185325E+002	7.9439990E+003	7.3495430E+003	6.2326143E+003	9.6364551E+003	-4.0298862E+001
6.000000000000000E+000	6.829865333173948E+002	6.3077339E+003	8.2425371E+003	6.7450952E+003	1.0650621E+004	-3.9294407E+001
6.000000000000000E+000	6.834556977930552E+002	5.0116040E+003	8.6286045E+003	7.7752207E+003	1.1614941E+004	-4.2021961E+001
6.000000000000000E+000	6.839226732285679E+002	3.9812744E+003	1.0034855E+004	8.0901812E+003	1.2889894E+004	-3.8876041E+001
