time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
1.554415462637757E+003	6.000000000000000E+000	6.8110674E+003	9.3950981E+001	5.5123432E+001	1.0892832E+002	-3.0401234E+001
1.554885674766811E+003	6.000000000000000E+000	4.6414854E+003	9.9569618E+001	7.4529312E+001	1.2437334E+002	-3.6815388E+001
1.555352637295655E+003	6.000000000000000E+000	3.1610117E+003	1.0647990E+002	1.0157161E+002	1.4715556E+002	-4.3648544E+001
1.555819664544506E+003	6.000000000000000E+000	2.1556899E+003	1.1466507E+002	1.3958643E+002	1.8064453E+002	-5.0598164E+001
1.556288925286761E+003	6.000000000000000E+000	1.4685898E+003	1.2564487E+002	1.9252928E+002	2.2990033E+002	-5.6871479E+001
1.556754663575579E+003	6.000000000000000E+000	1.0003202E+003	1.3952760E+002	2.6879465E+002	3.0285065E+002	-6.2566795E+001
1.858463235064672E+003	7.000000000000000E+000	1.0000186E+006	7.8616707E+001	-4.9739685E+000	7.8773895E+001	3.6201982E+000
1.858898235138651E+003	7.000000000000000E+000	6.8129269E+005	7.3159958E+001	-3.5768614E+000	7.3247345E+001	2.7990174E+000
1.859333245239308E+003	7.000000000000000E+000	4.6415716E+005	7.3169479E+001	-1.1520253E+000	7.3178551E+001	9.0202552E-001
1.859767244246585E+003	7.000000000000000E+000	3.1622997E+005	7.3438576E+001	1.0271498E+000	7.3445755E+001	-8.0131608E-001
1.860202246240602E+003	7.000000000000000E+000	2.1544686E+005	7.4007339E+001	3.2472372E+000	7.4078545E+001	-2.5123687E+000
1.860636241407861E+003	7.000000000000000E+000	1.4677664E+005	7.4754395E+001	5.4039254E+000	7.4949463E+001	-4.1346660E+000
1.861071236708522E+003	7.000000000000000E+000	1.0000371E+005	7.5843948E+001	7.7829347E+000	7.6242233E+001	-5.8590550E+000
1.861505234782497E+003	7.000000000000000E+000	6.8132047E+004	7.7248268E+001	1.0483500E+001	7.7956390E+001	-7.7284956E+000
1.861939257256425E+003	7.000000000000000E+000	4.6420355E+004	7.8998161E+001	1.3812819E+001	8.0196655E+001	-9.9178991E+000
