time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
1.553200443993410E+003	6.000000000000000E+000	1.0000371E+005	4.2906918E+001	2.9393792E+000	4.3007481E+001	-3.9189789E+000
1.553634441907314E+003	6.000000000000000E+000	6.8132047E+004	4.3610310E+001	4.7002063E+000	4.3862865E+001	-6.1514459E+000
1.554069459714665E+003	6.000000000000000E+000	4.6420355E+004	4.4538788E+001	6.5853338E+000	4.5022995E+001	-8.4105978E+000
1.554504452348658E+003	6.000000000000000E+000	3.1621139E+004	4.5712879E+001	8.8913164E+000	4.6569550E+001	-1.1006802E+001
1.554938451782597E+003	6.000000000000000E+000	2.1544684E+004	4.7143173E+001	1.1777212E+001	4.8591991E+001	-1.4026427E+001
1.555372450576542E+003	6.000000000000000E+000	1.4678594E+004	4.9065445E+001	1.5451889E+001	5.1441021E+001	-1.7480469E+001
1.555806449050520E+003	6.000000000000000E+000	1.0002226E+004	5.1482052E+001	2.0089417E+001	5.5262882E+001	-2.1316813E+001
1.556183477121725E+003	6.000000000000000E+000	6.8110674E+003	5.4313984E+001	2.6162832E+001	6.0286835E+001	-2.5719934E+001
1.556653652904119E+003	6.000000000000000E+000	4.6414854E+003	5.7524914E+001	3.4283993E+001	6.6966469E+001	-3.0794313E+001
1.557121655913012E+003	6.000000000000000E+000	3.1610117E+003	6.1122547E+001	4.5324825E+001	7.6094055E+001	-3.6558422E+001
1.557588632121857E+003	6.000000000000000E+000	2.1556899E+003	6.5064240E+001	6.1144657E+001	8.9286194E+001	-4.3221176E+001
1.558056887637416E+003	6.000000000000000E+000	1.4685898E+003	7.0042290E+001	8.3429245E+001	1.0893283E+002	-4.9985153E+001
1.558522659926224E+003	6.000000000000000E+000	1.0003202E+003	7.5907433E+001	1.1557616E+002	1.3827432E+002	-5.6704128E+001
1.860234254135430E+003	7.000000000000000E+000	1.0000186E+006	5.0298698E+001	-9.8517962E+000	5.1254433E+001	1.1081992E+001
1.860669247382757E+003	7.000000000000000E+000	6.8129269E+005	4.6342899E+001	-8.1836023E+000	4.7059917E+001	1.0014506E+001
1.861103248150059E+003	7.000000000000000E+000	4.6415716E+005	4.6479061E+001	-5.0248508E+000	4.6749889E+001	6.1702819E+000
1.861538240864029E+003	7.000000000000000E+000	3.1622997E+005	4.6305119E+001	-2.6338160E+000	4.6379963E+001	3.2554526E+000
1.861973251258052E+003	7.000000000000000E+000	2.1544686E+005	4.6311310E+001	-6.0672796E-001	4.6315285E+001	7.5059336E-001
1.862407233945298E+003	7.000000000000000E+000	1.4677664E+005	4.6570221E+001	1.2094429E+000	4.6585922E+001	-1.4876544E+000
1.862842234819342E+003	7.000000000000000E+000	1.0000371E+005	4.7042465E+001	2.8570719E+000	4.7129147E+001	-3.4755263E+000
1.863277253693290E+003	7.000000000000000E+000	6.8132047E+004	4.7766800E+001	4.5249243E+000	4.7980644E+001	-5.4114513E+000
1.863711243980593E+003	7.000000000000000E+000	4.6420355E+004	4.8634037E+001	6.4879918E+000	4.9064892E+001	-7.5986409E+000
1.864146234187909E+003	7.000000000000000E+000	3.1621139E+004	4.9815575E+001	8.7386618E+000	5.0576237E+001	-9.9496078E+000
1.864580249515217E+003	7.000000000000000E+000	2.1544684E+004	5.1233074E+001	1.1590551E+001	5.2527790E+001	-1.2747542E+001
1.865014255029120E+003	7.000000000000000E+000	1.4678594E+004	5.3139725E+001	1.5178498E+001	5.5264973E+001	-1.5941129E+001
1.865448254703108E+003	7.000000000000000E+000	1.0002226E+004	5.5407207E+001	1.9775305E+001	5.8830444E+001	-1.9641916E+001
1.865825260827638E+003	7.000000000000000E+000	6.8110674E+003	6.0197273E+001	2.6468206E+001	6.5759239E+001	-2.3734667E+001
1.866295436636712E+003	7.000000000000000E+000	4.6414854E+003	6.1450405E+001	3.3556740E+001	7.0015762E+001	-2.8638000E+001
1.866762442818894E+003	7.000000000000000E+000	3.1610117E+003	6.4805412E+001	4.4346027E+001	7.8525864E+001	-3.4383648E+001
1.867229470974409E+003	7.000000000000000E+000	2.1556899E+003	6.8819878E+001	5.9904778E+001	9.1240112E+001	-4.1038185E+001
1.867698727290001E+003	7.000000000000000E+000	1.4685898E+003	7.3730049E+001	8.1986198E+001	1.1026267E+002	-4.8035011E+001
1.868164430912155E+003	7.000000000000000E+000	1.0003202E+003	7.9504951E+001	1.1333102E+002	1.3843756E+002	-5.4949245E+001
2.170572034994402E+003	8.000000000000000E+000	1.0000186E+006	5.1054493E+001	-9.6935492E+000	5.1966587E+001	1.0750596E+001
2.171006029361713E+003	8.000000000000000E+000	6.8129269E+005	4.7412373E+001	-7.9706068E+000	4.8077682E+001	9.5428982E+000
2.171440030288970E+003	8.000000000000000E+000	4.6415716E+005	4.7257484E+001	-5.2989511E+000	4.7553642E+001	6.3978143E+000
2.171874029936298E+003	8.000000000000000E+000	3.1622997E+005	4.6759239E+001	-2.6251078E+000	4.6832870E+001	3.2132659E+000
2.172308045183570E+003	8.000000000000000E+000	2.1544686E+005	4.6811447E+001	-6.6679478E-001	4.6816196E+001	8.1608123E-001
2.172743033177539E+003	8.000000000000000E+000	1.4677664E+005	4.7036312E+001	1.1521903E+000	4.7050423E+001	-1.4032230E+000
2.173177049518185E+003	8.000000000000000E+000	1.0000371E+005	4.7496403E+001	2.8412163E+000	4.7581306E+001	-3.4233317E+000
2.173611042258766E+003	8.000000000000000E+000	6.8132047E+004	4.8129906E+001	4.6618176E+000	4.8355148E+001	-5.5323577E+000
2.174045029159373E+003	8.000000000000000E+000	4.6420355E+004	4.9231800E+001	6.4256430E+000	4.9649361E+001	-7.4361038E+000
2.174479048806679E+003	8.000000000000000E+000	3.1621139E+004	5.0194271E+001	8.6626730E+000	5.0936302E+001	-9.7918167E+000
2.174914045200654E+003	8.000000000000000E+000	2.1544684E+004	5.1747601E+001	1.1486752E+001	5.3007164E+001	-1.2515391E+001
2.175348044607934E+003	8.000000000000000E+000	1.4678594E+004	5.3615685E+001	1.5001644E+001	5.5674870E+001	-1.5631595E+001
2.175782040095219E+003	8.000000000000000E+000	1.0002226E+004	5.6237713E+001	1.9176392E+001	5.9417290E+001	-1.8828766E+001
2.176159068913112E+003	8.000000000000000E+000	6.8110674E+003	5.7820114E+001	2.5550791E+001	6.3213989E+001	-2.3840704E+001
2.176629224508848E+003	8.000000000000000E+000	4.6414854E+003	6.1650837E+001	3.3106140E+001	6.9977440E+001	-2.8235540E+001
2.177096231197698E+003	8.000000000000000E+000	3.1610117E+003	6.5246902E+001	4.4056446E+001	7.8728195E+001	-3.4028271E+001
2.177564231406592E+003	8.000000000000000E+000	2.1556899E+003	7.0653481E+001	5.9070293E+001	9.2093506E+001	-3.9897526E+001
2.178032488628814E+003	8.000000000000000E+000	1.4685898E+003	7.3268333E+001	8.1252663E+001	1.0940861E+002	-4.7957928E+001
2.178498241184294E+003	8.000000000000000E+000	1.0003202E+003	7.9790680E+001	1.1219569E+002	1.3767506E+002	-5.4580544E+001
2.480209823980200E+003	9.000000000000000E+000	1.0000186E+006	4.8881744E+001	-1.0317009E+001	4.9958637E+001	1.1917966E+001
2.480643823787424E+003	9.000000000000000E+000	6.8129269E+005	4.6647552E+001	-7.8516488E+000	4.7303726E+001	9.5543861E+000
2.481077823194704E+003	9.000000000000000E+000	4.6415716E+005	4.5796188E+001	-4.9749227E+000	4.6065613E+001	6.1998329E+000
2.481512838095397E+003	9.000000000000000E+000	3.1622997E+005	4.6056942E+001	-2.5904312E+000	4.6129734E+001	3.2191577E+000
2.481946823022648E+003	9.000000000000000E+000	2.1544686E+005	4.6075176E+001	-5.5617571E-001	4.6078533E+001	6.9158655E-001
